time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.14018e-303	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.752346	0.584507	5.77905	-7.40674e-017	-4.17918e-017	radar	3.1393	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.13794	0.517508	6.31362	-0.0190089	-0.0346321	lidar	0.388077	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.29041	0.526028	4.95245	0.00242602	0.0208275	radar	1.97106	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.58578	0.553228	4.95817	0.0246594	0.0777648	lidar	0.663644	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.83522	0.554944	5.26581	0.0340398	0.236087	radar	1.84178	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.12346	0.585536	5.27308	0.0656626	0.301274	lidar	0.508786	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.33711	0.641961	5.1535	0.150573	0.484877	radar	2.05224	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6054	0.677808	5.17488	0.162122	0.449211	lidar	0.15487	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.87713	0.672014	5.22107	0.119062	0.26296	radar	0.428733	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.11023	0.687782	5.19516	0.118778	0.218386	lidar	0.683753	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4024	0.589386	5.23811	-0.0210577	-0.182864	radar	3.24211	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70891	0.497737	5.29061	-0.126781	-0.420992	lidar	4.13561	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98632	0.564906	5.34293	-0.0371818	-0.138395	radar	2.66205	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.26156	0.561055	5.35338	-0.0383934	-0.12403	lidar	0.140954	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.52149	0.592751	5.32138	-0.0101982	-0.0554299	radar	0.879647	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71261	0.694574	5.22084	0.0758937	0.112299	lidar	9.79828	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96677	0.689198	5.1732	0.0596832	0.0706808	radar	2.09098	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27105	0.682675	5.23	0.0447077	0.0408211	lidar	3.33561	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52953	0.689879	5.25254	0.0447502	0.0377647	radar	1.5474	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82628	0.701065	5.29441	0.0448766	0.0363767	lidar	2.01074	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07158	0.629478	5.23332	-0.00865352	-0.051309	radar	4.24365	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33043	0.734395	5.22949	0.0560751	0.0496619	lidar	3.07394	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58213	0.765136	5.19812	0.0678641	0.0628541	radar	0.563403	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
